timestamp,run_idx,prefill_tps,decode_tps,total_s
1780030808,1,7.9,2.1,25.762
1780030834,2,7.0,2.4,25.253
1780030859,3,6.4,2.7,24.245
1780030884,4,7.4,2.1,25.753
1780030910,5,7.6,1.9,27.607
1780030937,6,6.6,2.8,24.542
1780030962,7,7.0,2.2,25.155
1780030987,8,8.0,1.9,26.737
1780031014,9,7.2,2.1,26.615
1780031041,10,6.3,2.6,24.837
1780031066,11,7.2,2.2,25.170
1780031092,12,8.1,1.8,27.497
1780031119,13,6.8,2.4,25.508
1780031145,14,6.4,2.7,24.434
1780031169,15,7.8,2.2,25.130
1780031195,16,7.7,2.1,26.029
1780031221,17,6.7,2.7,24.506
1780031246,18,6.7,2.4,24.781
1780031271,19,7.6,2.1,25.958
1780031297,20,7.0,2.4,24.938
1780031322,21,6.5,2.6,24.714
1780031347,22,7.6,2.1,25.207
1780031372,23,7.2,2.4,24.783
1780031397,24,6.5,2.4,25.624
1780031423,25,7.2,2.2,25.061
1780031448,26,7.9,2.0,26.618
1780031475,27,7.1,2.4,25.173
1780031500,28,6.5,2.7,24.354
1780031525,29,7.6,2.2,25.136
1780031550,30,7.1,2.3,25.758
1780031576,31,6.3,2.7,24.576
1780031601,32,7.3,2.1,25.517
1780031626,33,7.4,2.1,26.067
1780031653,34,6.5,2.7,24.977
1780031678,35,7.1,2.2,25.655
1780031704,36,8.0,1.8,27.397
1780031731,37,6.6,2.7,24.741
1780031756,38,6.8,2.3,24.902
1780031781,39,8.2,1.9,26.631
1780031808,40,7.1,2.3,25.930
1780031834,41,6.3,2.5,25.089
1780031859,42,7.5,2.2,24.801
1780031884,43,7.4,2.3,25.238
1780031910,44,6.3,2.8,24.670
1780031935,45,7.2,2.1,25.848
1780031961,46,7.6,2.0,26.019
1780031987,47,6.6,2.4,26.227
1780032013,48,6.9,2.3,25.198
1780032039,49,8.1,1.7,28.147
1780032067,50,6.7,2.3,26.504
1780032094,51,6.2,2.3,26.859
1780032121,52,6.9,2.1,26.483
1780032147,53,7.5,1.9,27.295
1780032175,54,6.3,2.1,28.310
1780032203,55,6.0,2.6,26.288
1780032230,56,6.4,2.2,26.272
1780032256,57,7.1,2.0,26.733
1780032283,58,7.3,1.9,28.531
1780032312,59,6.2,2.0,29.952
1780032342,60,6.2,2.5,27.279
1780032370,61,6.8,2.2,27.510
1780032397,62,7.4,1.9,29.698
1780032427,63,6.6,2.1,27.415
1780032455,64,6.2,2.2,27.355
1780032483,65,5.7,2.3,28.215
1780032511,66,7.4,1.9,27.679
1780032539,67,6.1,1.8,31.737
1780032571,68,6.6,2.4,26.132
1780032597,69,6.2,2.4,26.092
