timestamp,batt_temp_c,aoss-0_c,cpuss-0_c,cpu-1-5_c,cpu-1-6_c,cpu-1-7_c,cpu-1-8_c,cpu-1-9_c,cpu-1-10_c,aoss-1_c,cpu-0-0_c,cpu-0-1_c,cpu-0-2_c,cpuss-1_c,nspss-0_c,nspss-1_c,nspss-2_c,nspss-3_c,video_c,ddr_c,mdmss-0_c,mdmss-1_c,mdmss-2_c,mdmss-3_c,cpuss-2_c,camera-0_c,camera-1_c,aoss-2_c,gpuss-0_c,gpuss-1_c,gpuss-2_c,gpuss-3_c,gpuss-4_c,gpuss-5_c,gpuss-6_c,cpuss-3_c,gpuss-7_c,pa_c,pa1_c,bcl_warn_c,sdr0_pa_c,sdr0_c,sdr1_pa_c,sdr1_c,mmw0_c,mmw1_c,cpu-1-0_c,mmw2_c,mmw3_c,mmw_pa1_c,mmw_pa2_c,mmw_pa3_c,mmw_ific0_c,epm0_c,epm1_c,epm2_c,epm3_c,cpu-1-1_c,epm4_c,epm5_c,epm6_c,epm7_c,sdr_mmw_therm_c,sub1_modem_cfg_c,sub1_lte_cc_c,sub1_mcg_fr1_cc_c,sub1_mcg_fr2_cc_c,sub1_scg_fr1_cc_c,cpu-1-2_c,sub1_scg_fr2_cc_c,pm8550_tz_c,pm8550-bcl-lvl0_c,pm8550-bcl-lvl1_c,pm8550-bcl-lvl2_c,pm8550b_tz_c,pm8550b_lite_tz_c,pm8550b-ibat-lvl0_c,pm8550b-ibat-lvl1_c,pm8550b-bcl-lvl0_c,cpu-1-3_c,pm8550b-bcl-lvl1_c,pm8550b-bcl-lvl2_c,socd_c,pm8550ve_f_tz_c,pm8550vs_c_tz_c,pm8550vs_d_tz_c,pm8550vs_e_tz_c,pm8550vs_g_tz_c,pmr735d_k_tz_c,pmr735d_l_tz_c,cpu-1-4_c,pm8010m_tz_c,pm8010n_tz_c,xo-therm_c,ac_c,battery_c,cpu7_freq_khz
1780030808,35.0,40.20,43.00,41.40,40.20,40.60,41.80,41.00,41.00,40.60,43.80,45.70,44.60,43.00,40.20,41.00,39.00,39.40,44.60,40.60,39.40,39.80,38.60,39.80,41.80,39.80,40.60,41.00,41.40,41.00,41.00,39.80,41.00,41.40,41.00,41.80,41.00,16.75,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,41.00,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,41.40,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,43.00,-273.00,35.40,0.00,0.00,0.00,NA,NA,NA,NA,NA,43.00,NA,NA,0.01,31.99,36.77,36.57,35.83,36.03,37.00,NA,44.20,NA,NA,38.08,39.30,35.00,864000
1780030821,35.0,42.60,47.30,44.90,43.40,44.20,45.30,43.80,44.20,42.60,49.70,50.90,50.90,48.10,42.60,43.00,41.80,41.80,48.90,42.60,41.80,41.40,41.00,41.40,45.70,42.60,42.60,44.20,43.40,43.00,42.60,42.60,43.40,43.80,43.00,45.30,43.40,16.75,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,44.60,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,44.20,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,47.30,-273.00,36.53,0.00,0.00,0.00,NA,NA,NA,NA,NA,46.10,NA,NA,0.01,33.42,38.24,37.84,37.54,37.91,37.00,NA,46.10,NA,NA,38.35,37.90,35.10,864000
1780030837,35.0,41.80,45.70,43.80,42.60,43.80,43.80,43.40,42.60,41.40,48.10,48.90,49.30,46.50,42.20,42.60,41.00,41.40,48.10,42.60,41.80,41.00,40.60,41.40,44.60,41.80,42.60,43.80,43.00,42.60,42.60,42.20,43.40,43.80,43.00,43.80,43.40,16.76,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,43.40,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,43.40,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,46.10,-273.00,36.57,0.00,0.00,0.00,NA,NA,NA,NA,NA,45.30,NA,NA,0.01,33.09,38.07,37.81,36.84,37.81,37.00,NA,45.30,NA,NA,38.53,37.90,35.10,864000
1780030853,35.2,43.80,48.10,46.10,44.20,45.30,46.10,45.30,45.30,43.40,50.90,51.70,51.70,49.70,43.80,44.60,42.20,43.00,50.10,44.20,42.60,42.60,41.80,43.00,46.90,43.40,43.80,44.90,44.20,44.20,43.40,43.40,44.20,44.60,44.20,44.90,44.20,16.75,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,43.80,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,43.00,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,44.90,-273.00,37.10,0.00,0.00,0.00,NA,NA,NA,NA,NA,44.20,NA,NA,0.01,33.76,37.64,38.31,37.54,37.67,37.00,NA,43.80,NA,NA,38.74,38.70,35.20,864000
1780030867,35.2,42.60,46.50,44.90,43.40,44.60,45.30,43.80,43.80,42.20,49.70,52.90,51.30,48.50,42.60,43.40,41.40,41.40,50.10,43.00,41.40,41.40,40.60,41.80,44.90,42.60,43.00,44.20,43.40,43.00,42.20,42.20,43.40,43.80,43.00,44.60,43.40,16.75,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,43.80,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,44.20,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,46.90,-273.00,36.94,0.00,0.00,0.00,NA,NA,NA,NA,NA,46.10,NA,NA,0.01,33.66,38.71,38.27,37.71,38.21,37.00,NA,46.10,NA,NA,38.80,38.70,35.20,864000
1780030883,35.2,42.60,45.70,44.60,43.40,43.80,44.60,43.80,43.80,42.60,48.10,47.70,47.70,46.10,42.20,43.00,41.80,42.20,46.50,42.60,41.80,41.80,40.60,41.80,44.20,42.60,42.20,43.80,43.40,43.40,43.00,43.00,43.80,43.40,43.00,43.40,43.00,16.75,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,43.00,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,43.40,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,44.90,-273.00,37.07,0.00,0.00,0.00,NA,NA,NA,NA,NA,44.60,NA,NA,0.01,33.59,37.74,38.34,37.51,37.54,37.00,NA,44.60,NA,NA,38.93,39.40,35.30,864000
1780030894,35.2,43.00,47.30,45.70,43.80,44.90,45.30,44.60,44.20,42.60,48.90,50.50,50.90,48.50,43.40,43.80,41.40,42.20,48.90,43.40,42.20,41.80,41.80,42.20,46.50,43.00,43.00,44.60,43.80,43.40,43.80,43.40,44.20,44.20,43.80,45.70,44.60,16.75,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,44.60,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,45.30,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,47.70,-273.00,37.41,0.00,0.00,0.00,NA,NA,NA,NA,NA,46.50,NA,NA,0.01,34.13,38.81,38.64,38.14,38.58,37.00,NA,46.50,NA,NA,39.04,39.40,35.30,864000
1780030912,35.2,42.60,45.30,43.80,42.60,43.80,44.20,43.40,43.00,42.60,47.70,47.30,47.70,45.30,42.20,42.60,41.40,41.80,46.10,42.20,41.80,41.40,40.60,42.20,44.20,42.20,42.60,43.00,43.40,43.00,43.00,42.60,43.40,43.00,43.00,43.80,43.40,16.75,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,43.00,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,43.80,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,46.90,-273.00,37.04,0.00,0.00,0.00,NA,NA,NA,NA,NA,46.10,NA,NA,0.01,33.66,38.51,38.44,37.57,38.17,37.00,NA,45.70,NA,NA,39.13,39.90,35.40,864000
1780030925,35.2,43.80,48.10,46.50,44.90,46.10,46.90,44.90,45.30,43.80,51.70,51.70,52.50,50.10,44.20,44.60,42.60,43.40,50.10,44.60,43.00,42.60,42.20,43.00,46.90,43.80,44.20,45.30,44.60,44.20,44.20,43.80,44.90,44.90,44.60,46.50,44.90,16.75,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,44.90,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,45.30,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,47.70,-273.00,37.71,0.00,0.00,0.00,NA,NA,NA,NA,NA,46.90,NA,NA,0.01,34.23,39.04,38.94,38.21,38.81,37.00,NA,45.70,NA,NA,39.27,39.90,35.40,864000
1780030942,35.2,42.20,46.90,44.90,43.80,44.90,44.60,44.20,44.20,43.00,50.10,50.50,51.70,48.50,43.00,43.80,41.80,41.80,49.70,43.40,41.80,41.80,41.00,41.80,45.70,42.60,43.00,43.80,43.80,43.40,42.60,42.20,43.40,43.80,43.00,44.90,43.80,16.75,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,44.20,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,43.40,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,47.30,-273.00,37.34,0.00,0.00,0.00,NA,NA,NA,NA,NA,46.50,NA,NA,0.01,33.69,38.81,38.58,37.64,38.31,37.00,NA,45.70,NA,NA,39.28,39.50,35.50,864000
